harvest_id,farmer_id,crop_id,date_id,quantity_ton,selling_price,market
584,141,116,718,444.69,456091.93,cold storage
592,101,85,215,333.26,72896.39,cold storage
593,288,154,359,146.43,305794.85,cold storage
600,672,64,676,962.89,204962.21,cold storage
607,527,196,724,885.19,446881.99,cold storage
615,923,194,579,881.61,25676.15,cold storage
625,477,57,437,211.02,374654.39,cold storage
627,408,86,467,711.76,175878.29,cold storage
646,546,210,616,643.94,276771.3,cold storage
656,48,47,705,132.19,170215.33,cold storage
669,102,24,192,298.07,100704.66,cold storage
673,422,136,298,831.23,67365.28,cold storage
686,934,8,265,23.39,407034.96,cold storage
696,226,63,652,352.23,432570,cold storage
700,602,209,110,560.57,119739,cold storage
703,896,72,329,852.95,198157.72,cold storage
717,311,72,40,597.98,466759.19,cold storage
718,207,43,330,368.76,166443.67,cold storage
719,102,150,549,186.81,311207.46,cold storage
722,1039,175,515,153.93,432617.61,cold storage
727,717,143,470,206.91,134126.43,cold storage
728,276,92,171,79.95,260636.88,cold storage
729,888,183,187,970.64,223200.02,cold storage
733,719,71,604,755.24,365741.38,cold storage
737,13,72,715,454.09,110854.86,cold storage
740,832,92,180,868.24,65929.28,cold storage
745,784,143,198,703.2,153453.69,cold storage
747,410,122,327,329.79,126242,cold storage
748,14,116,362,338.61,283610.33,cold storage
750,138,182,666,653.02,210440,cold storage
754,710,65,505,343.56,70487.16,cold storage
763,539,27,443,966.63,369339.01,cold storage
766,949,204,577,388.95,294977.26,cold storage
769,706,4,685,309.38,294220.66,cold storage
770,938,11,298,509.57,159048,cold storage
771,381,185,204,720.99,325422.23,cold storage
775,94,134,426,-0.5,486746.71,cold storage
776,682,206,300,297.52,46314.17,cold storage
778,710,119,552,827.94,417666,cold storage
781,516,68,270,323.26,455010.73,cold storage
782,12,108,480,778.45,42604,cold storage
791,1005,129,251,345.6,482252.41,cold storage
797,491,108,45,816.94,485379.78,cold storage
800,929,27,367,320.21,83816.63,cold storage
804,183,10,624,908.49,322273.27,cold storage
808,940,46,322,81.72,202940.6,cold storage
810,204,119,367,800.63,341167.38,cold storage
812,1038,97,687,252.97,289302.87,cold storage
813,35,30,476,248.11,72033.35,cold storage
820,116,12,720,785.51,144094.86,cold storage
825,723,179,78,195.36,190066.21,cold storage
827,27,165,601,409.63,313439.88,cold storage
832,348,202,405,596.82,212945.19,cold storage
833,796,169,36,702.74,11203.87,cold storage
843,889,125,720,323.18,433391.3,cold storage
844,104,136,60,536.17,358794.44,cold storage
847,791,200,574,137.22,387212.74,cold storage
852,476,186,284,39.9,185138.48,cold storage
855,235,33,729,321.02,51515.36,cold storage
860,1041,90,520,442.73,216242.35,cold storage
861,813,178,57,419.85,230371.88,cold storage
862,308,29,363,798.19,326170.94,cold storage
863,343,77,62,806.95,391482.99,cold storage
867,25,23,474,735.19,494613.96,cold storage
877,1031,124,539,317.85,357891.35,cold storage
879,370,94,541,961.09,346872.45,cold storage
884,652,20,50,926.22,327101.81,cold storage
887,941,185,726,707.04,460284,cold storage
892,679,132,609,939.73,411305.93,cold storage
898,533,190,69,57.06,303796.79,cold storage
899,417,52,509,791.59,70090.76,cold storage
907,574,187,32,627.78,6069.13,cold storage
909,495,27,254,713.57,237590.45,cold storage
919,420,49,162,642.84,255920.73,cold storage
920,106,158,264,663.14,53618.46,cold storage
924,425,174,102,630.15,46823.62,cold storage
943,51,33,690,42.62,318381.71,cold storage
944,172,7,278,96.03,191427.52,cold storage
959,481,23,352,895.4,318498.12,cold storage
966,84,38,376,950.2,55946.44,cold storage
969,960,129,711,150.36,271503,cold storage
971,119,41,730,743.7,135835.05,cold storage
984,484,106,467,844.81,334867.1,cold storage
994,162,108,226,331.29,455971.9,cold storage
1002,551,132,414,6.88,396335.25,cold storage
1003,154,130,581,970.05,91231.18,cold storage
1016,476,80,463,631.64,274338.85,cold storage
1021,572,169,478,863.47,269567,cold storage
1037,522,77,643,159.8,122201.56,cold storage
1041,317,127,348,999.64,498030.96,cold storage
1049,171,160,618,625.55,31518.11,cold storage
1055,320,47,233,745.38,418437,cold storage
1061,951,40,202,482.67,366649.53,cold storage
1062,712,11,356,219.94,458411.43,cold storage
1080,240,180,43,291.76,40032.55,cold storage
1085,775,93,438,972.74,328213.54,cold storage
1086,174,155,474,3.81,283907.85,cold storage
1090,768,91,389,315.45,366537.74,cold storage
1093,182,94,700,27.39,231883.9,cold storage
1099,252,93,417,79.32,481065.35,cold storage
1116,893,143,146,935.97,145188780,cold storage
1125,1041,118,575,153.11,279132.09,cold storage
1126,906,70,584,426.39,406867.89,cold storage
1132,892,180,242,737.93,42653.8,cold storage
1136,972,105,390,277.73,250247.34,cold storage
1138,848,25,710,31.82,157335.09,cold storage
1141,518,57,213,455.73,314207.99,cold storage
1145,1028,27,27,818.85,238690.73,cold storage
1149,495,115,270,602.41,196004.19,cold storage
1151,804,167,657,383.46,166901.53,cold storage
1156,479,111,113,386.85,467087.11,cold storage
1159,517,129,579,53.7,245186.72,cold storage
1160,646,160,603,56.02,487930.67,cold storage
1162,433,53,567,39.18,185877.69,cold storage
1165,1000,80,238,690.18,247898.53,cold storage
1170,681,59,729,143.89,245533.09,cold storage
1174,369,52,268,911.87,329092.21,cold storage
1175,706,67,52,203.8,177237.12,cold storage
1185,399,200,620,616.21,253378,cold storage
1196,123,73,253,170.98,70808.02,cold storage
1198,434,26,125,919.12,458808,cold storage
1201,956,135,387,137.52,138834.02,cold storage
1209,100,204,378,906.03,350514.46,cold storage
1216,80,203,414,493.09,290828.46,cold storage
1219,454,74,195,483.01,289741.14,cold storage
1220,387,33,268,691.75,301645.06,cold storage
1227,1026,129,367,426.88,119801.13,cold storage
1231,961,190,96,673.8,285584.38,cold storage
1238,790,31,711,762.76,432457.59,cold storage
1239,938,187,221,432.66,446757,cold storage
1241,132,71,530,93.81,18989.45,cold storage
1242,503,175,221,159.9,479161.22,cold storage
1255,393,29,574,36.37,123971.03,cold storage
1262,872,153,117,971.36,197010.91,cold storage
1272,506,131,358,47.2,316930,cold storage
1290,572,204,39,573.58,363893.18,cold storage
1291,697,120,551,470.62,252771.2,cold storage
1293,210,113,19,201.37,259644.79,cold storage
1297,54,176,651,230.08,318031.96,cold storage
1320,134,169,643,136.16,333631.55,cold storage
1322,263,52,608,183.22,207219.08,cold storage
1332,407,152,142,862.1,133349190,cold storage
1337,313,47,408,984.19,272301.97,cold storage
1338,326,178,554,447.58,313738.46,cold storage
1354,494,208,465,912.18,259783.56,cold storage
1359,268,5,245,854.99,66466.46,cold storage
1361,523,201,21,714.57,202793,cold storage
1365,746,132,191,518.63,231643,cold storage
1373,890,86,403,155.34,244891.52,cold storage
1376,851,84,202,100.17,333662,cold storage
1381,55,154,534,457.4,195684,cold storage
1391,886,46,113,426.38,311047.39,cold storage
1397,698,149,495,833.75,13843,cold storage
1405,525,6,658,127.12,80713.74,cold storage
1410,795,184,539,919.21,291475.08,cold storage
1413,849,100,295,731.7,204383.97,cold storage
1414,26,34,97,779.41,449395.28,cold storage
1417,340,19,246,776.22,166267.52,cold storage
1421,1021,24,678,841.24,106255.02,cold storage
1429,876,58,10,785.22,22342.55,cold storage
1432,558,141,595,963.01,50953,cold storage
1447,901,43,422,164.01,403876.49,cold storage
1450,546,73,549,682.49,299464.16,cold storage
1451,928,75,344,544.13,159263.11,cold storage
1458,941,33,188,311.7,79150.78,cold storage
1462,518,157,577,862.78,61293.36,cold storage
1470,1,7,229,944.77,117642.04,cold storage
1478,897,123,171,562.8,369219,cold storage
1481,76,135,288,924.29,303214,cold storage
1488,758,188,115,802.61,120015.71,cold storage
1489,851,157,691,746.93,47818.5,cold storage
1491,170,197,697,520.49,354657.83,cold storage
1492,723,72,623,167.41,222012.27,cold storage
1495,624,18,358,163.23,485253.93,cold storage
1498,377,15,657,406.5,367218.97,cold storage
1507,388,162,103,112.56,112002.29,cold storage
1513,184,45,429,311.25,420382.13,cold storage
1514,608,126,28,611.37,146547,cold storage
1516,949,186,191,223.42,157706,cold storage
1521,935,5,272,729.59,179303.91,cold storage
1526,498,209,202,628.88,328177.09,cold storage
1535,563,120,613,918.47,433278,cold storage
1537,118,15,638,266.46,296154.75,cold storage
1540,449,189,316,62.9,82231.53,cold storage
1541,862,172,532,474.22,333789.7,cold storage
1550,239,99,170,905.94,447794.33,cold storage
1553,628,34,572,196.47,118748.75,cold storage
1554,257,165,556,990.04,280111.53,cold storage
1556,20,60,3,110.98,30002.68,cold storage
1561,541,54,557,151.64,661,cold storage
1562,820,52,94,988.82,297259.77,cold storage
1572,452,110,401,640.21,88044.9,cold storage
1577,666,5,652,103.66,101611.84,cold storage
1579,40,35,436,975.27,331894.77,cold storage
1584,204,182,205,270.54,185630.19,cold storage
1590,745,18,125,624.96,51664.3,cold storage
1593,128,90,481,84.96,183112.35,cold storage
1594,440,45,682,475.77,249689.02,cold storage
1596,127,141,51,4.46,342671.08,cold storage
1623,540,129,132,803.15,132171,cold storage
1635,898,185,642,414.67,467069.1,cold storage
1637,428,112,532,496.05,471050.71,cold storage
1638,364,127,727,94.78,144773.01,cold storage
1658,655,15,294,548.31,197337.28,cold storage
1663,213,89,368,92.43,489603.78,cold storage
1665,330,26,690,628.34,87097.87,cold storage
1678,489,174,589,301.53,374364.73,cold storage
1694,267,24,39,694.9,144814.3,cold storage
1695,105,116,170,823.37,158265.81,cold storage
1697,490,16,43,861.92,305739.27,cold storage
1699,127,202,636,975.82,246802.63,cold storage
1700,744,18,332,406.7,258771.61,cold storage
1704,504,102,663,195.76,321343.06,cold storage
1713,441,49,270,483.04,441803.69,cold storage
1716,418,126,368,5.61,346208.79,cold storage
1723,206,82,587,593.25,197255.28,cold storage
1732,90,5,708,248.47,399714.82,cold storage
1769,576,179,678,247.21,449516.44,cold storage
1776,800,181,173,21.77,435804.52,cold storage
1785,534,122,214,252.39,439165.6,cold storage
1800,494,110,486,119.38,339959.5,cold storage
1801,4,178,40,968.06,42914.59,cold storage
1813,411,72,372,550.04,454445.96,cold storage
1818,259,188,622,45.01,276040,cold storage
1826,407,151,502,536.09,186444.1,cold storage
1828,1022,24,410,482.53,72833.48,cold storage
1836,810,180,262,26.01,421270.46,cold storage
1840,466,207,524,627.89,21640.57,cold storage
1852,292,23,514,881.96,349765.44,cold storage
1853,982,81,157,-0.5,18429.05,cold storage
1865,671,179,715,353.96,261372.43,cold storage
1868,880,186,35,466.87,262149.28,cold storage
1870,839,198,592,492.34,487994.35,cold storage
1871,560,198,462,19.03,479826.65,cold storage
1882,645,38,393,217.05,34671.71,cold storage
1895,579,41,328,749.47,178998.26,cold storage
1896,1045,124,409,331.8,303835.49,cold storage
1897,220,161,621,810.09,12079.46,cold storage
1903,33,112,480,916910.8135996315,43831,cold storage
1906,519,148,80,327.48,465598.96,cold storage
1914,626,117,713,417.12,485650.65,cold storage
1921,299,115,671,470.49,280548.99,cold storage
1927,794,186,588,65.52,279889.28,cold storage
1930,896,102,397,855.53,269114.08,cold storage
1936,197,82,54,373.53,113895.95,cold storage
1939,823,68,110,859.27,473668.08,cold storage
1942,526,12,322,748.26,127019.87,cold storage
1957,98,15,368,421.16,301732.94,cold storage
1969,28,194,549,41.25,461828.81,cold storage
1970,722,43,478,718.83,226194.43,cold storage
1973,672,127,568,657.52,490533.89,cold storage
1979,1030,101,703,148.94,27751,cold storage
1981,738,159,169,801.26,242902.31,cold storage
1983,619,97,174,384.43,238434.62,cold storage
1984,667,88,74,586.32,277208,cold storage
1985,11,198,413,987.27,357504.68,cold storage
2006,101,165,703,488.86,239984,cold storage
2007,812,202,537,33.08,455727.74,cold storage
2012,609,101,145,371.79,271521.28,cold storage
2017,449,6,413,97.24,256543.09,cold storage
2018,627,18,587,38.77,226010.17,cold storage
2024,423,197,678,104.97,68292.55,cold storage
2030,503,4,181,306.14,297599.45,cold storage
2036,939,31,435,803.43,476692.13,cold storage
2037,854,153,77,969.95,13383.77,cold storage
2048,368,23,615,800.01,373727.82,cold storage
2052,992,11,699,899.96,461600.68,cold storage
2056,358,164,30,294.04,375792.75,cold storage
2059,954,199,592,44.34,435779,cold storage
2060,114,192,80,76.18,399976.02,cold storage
2062,822,80,510,44.88,284521.65,cold storage
2065,1022,144,41,771.31,147182,cold storage
2068,58,76,606,518.09,369598.79,cold storage
2074,718,54,120,437.16,149743.44,cold storage
2078,257,53,258,535.99,276384.63,cold storage
2081,155,152,297,921.7,41082.85,cold storage
2082,296,192,588,425.84,165420.91,cold storage
2086,244,18,662,45.57,198973.92,cold storage
2089,416,144,476,808.01,85797.25,cold storage
2093,970,160,445,-0.5,390742.34,cold storage
2101,678,23,474,519.62,57110.01,cold storage
2103,74,37,535,29.82,381409,cold storage
2105,508,34,237,514.17,470555.85,cold storage
2109,818,71,152,811.35,189795.14,cold storage
2116,1047,68,561,333.55,135708.8,cold storage
2119,14,199,544,686.09,38949.03,cold storage
2121,166,117,206,73.2,8438.75,cold storage
2125,427,193,619,834.82,317087.98,cold storage
2127,983,124,72,698.41,318089.55,cold storage
2128,730,199,383,205.59,174507.33,cold storage
2134,796,73,711,335.49,368708.66,cold storage
2141,136,186,277,349.45,95114.1,cold storage
2150,1006,101,496,-0.5,34229.4,cold storage
2182,318,38,102,157.33,467543.4,cold storage
2183,77,75,43,645.07,403050.25,cold storage
2188,10,163,499,358.83,228345.55,cold storage
2208,356,110,386,641.1,256703.96,cold storage
2214,759,115,658,944.6,284133.81,cold storage
2219,792,7,395,533,411344.12,cold storage
2226,1045,67,78,759.42,222899.35,cold storage
2229,902,111,23,592.58,13146,cold storage
2234,269,41,627,785.49,296998,cold storage
2239,398,14,316,480.52,194875,cold storage
2244,550,77,250,577.4,355256.53,cold storage
2246,193,93,457,211.28,14587.39,cold storage
2251,353,45,350,815.31,264451.34,cold storage
2255,359,178,212,144.19,26853.83,cold storage
2266,584,193,680,528.16,49853.5,cold storage
2275,388,31,692,598.81,31297.96,cold storage
2283,621,129,507,798.71,121862.92,cold storage
2290,729,13,153,865.76,346034,cold storage
2292,763,189,51,648.6,50041.24,cold storage
2297,893,88,611,101.03,177747.93,cold storage
2305,329,53,2,112.4,177614.58,cold storage
2312,272,81,327,397.52,294092.97,cold storage
2316,105,101,280,15.23,472853.63,cold storage
2320,633,43,131,563.54,297972.92,cold storage
2324,800,12,31,485.92,100742.07,cold storage
2342,712,90,323,878.19,456913.86,cold storage
2343,907,204,131,238.68,387855.8,cold storage
2345,402,198,261,362.24,88232.8,cold storage
2361,837,56,547,673.42,483047.44,cold storage
2363,936,136,298,212.89,181231.44,cold storage
2365,923,158,262,745.64,365491.99,cold storage
2378,869,172,262,525.74,194298.1,cold storage
2384,812,196,374,612.93,490375.32,cold storage
2385,42,87,444,973.04,343172.5,cold storage
2386,240,10,376,-0.5,25213.03,cold storage
2390,715,159,120,785.08,440915.34,cold storage
2397,973,102,524,573.27,225412.25,cold storage
2414,593,18,29,961.98,315906.62,cold storage
2418,524,71,393,846.37,271070.26,cold storage
2426,202,76,273,721.12,292464.89,cold storage
2428,608,118,408,831.42,340811.22,cold storage
2433,404,86,116,535.47,171388.97,cold storage
2444,805,30,345,523.48,478681.41,cold storage
2445,929,132,426,742.25,317340.25,cold storage
2451,260,151,297,637.65,115377.25,cold storage
2460,443,138,657,620.8,211167.56,cold storage
2462,614,79,646,468.35,495710.3,cold storage
2475,603,78,93,724.14,111019.08,cold storage
2476,1024,108,290,323.77,31219.76,cold storage
2488,746,203,546,989.48,76891.7,cold storage
2495,504,132,4,335.09,476978.13,cold storage
2496,95,164,662,370.42,264789,cold storage
2497,624,72,313,552.09,200424.32,cold storage
2498,425,102,249,637.42,295468.91,cold storage
2505,18,103,514,385.79,8520.4,cold storage
2518,125,164,650,469.51,365236.48,cold storage
2521,820,3,666,991.66,423298,cold storage
2527,284,129,12,653.56,466546.1,cold storage
2528,240,25,656,18.17,421661.21,cold storage
2537,76,150,129,49.37,294419.33,cold storage
2543,67,19,692,289.1,158048.12,cold storage
2566,899,43,78,966.29,355779.47,cold storage
2569,820,111,649,731.81,340962.41,cold storage
2570,709,69,221,590.52,245187.75,cold storage
2572,339,52,318,227.89,421722.21,cold storage
2576,1028,128,450,929.69,487875.24,cold storage
2580,33,150,42,691.43,238700.31,cold storage
2587,777,47,495,571.31,97568.08,cold storage
2592,863,87,8,882.55,291347,cold storage
2593,959,134,436,486.8,478824.64,cold storage
2597,325,101,717,350.1,71321.12,cold storage
2598,569,106,315,202.47,335093,cold storage
2615,427,52,14,857.12,343454.46,cold storage
2616,322,122,535,69.06,476863.46,cold storage
2623,120,81,625,689.86,431436.43,cold storage
2624,350,119,436,931.06,165938.6,cold storage
2625,109,168,593,343.6,491026.66,cold storage
2627,706,45,99,130.64,292604,cold storage
2630,519,28,713,947.23,286404.91,cold storage
2636,962,98,164,569.05,105303.33,cold storage
2638,353,207,18,444.17,210702.56,cold storage
2640,136,159,220,698.32,455240.79,cold storage
2644,768,209,332,180.92,484572.51,cold storage
2646,24,42,277,922.57,167427.09,cold storage
2659,384,6,242,367.35,242334.13,cold storage
2665,892,83,455,638.76,125206.3,cold storage
2666,221,95,93,920.87,243613.06,cold storage
2669,965,59,404,399.01,477426.65,cold storage
2677,125,196,313,406.19,68314.46,cold storage
2680,41,86,121,66.26,301520,cold storage
2681,69,71,693,768.36,480677.85,cold storage
2693,947,89,245,445.12,83330.22,cold storage
2694,622,110,162,553.29,403591.67,cold storage
2696,193,118,487,165.48,117815,cold storage
2698,649,91,381,698.23,494748.21,cold storage
2703,368,125,517,61.81,199638.67,cold storage
2721,183,119,250,254.67,297901.62,cold storage
2725,598,168,566,823.41,329346.61,cold storage
2727,46,163,514,355.24,200973.87,cold storage
2733,699,121,609,930.78,329686.61,cold storage
2735,28,13,663,768.9,140539.31,cold storage
2743,332,44,462,505.08,302349.47,cold storage
2744,726,33,371,137.97,473198.05,cold storage
2748,753,115,680,544.78,153237.62,cold storage
2754,138,23,252,74.3,443603.52,cold storage
2760,665,51,349,694.08,89119.14,cold storage
2792,594,142,29,573.18,102729.48,cold storage
2795,621,166,607,310.57,88483.97,cold storage
2807,235,126,51,298.89,42363.11,cold storage
2819,90,97,591,996.35,422631.91,cold storage
2826,285,99,92,888.33,84978.58,cold storage
2835,509,162,467,901.53,24740.48,cold storage
2838,780,19,531,379.07,354663.73,cold storage
2843,543,3,579,615.47,192289.57,cold storage
2852,259,38,242,873.03,489509.5,cold storage
2854,760,75,35,728.5,250053.38,cold storage
2863,71,71,364,726.68,467045.66,cold storage
2872,361,17,18,691.79,138538.85,cold storage
2873,680,117,6,322.14,320093.65,cold storage
2876,661,41,339,225.53,13911.67,cold storage
2879,500,128,357,896.43,333128.54,cold storage
2886,123,138,522,948.51,122542.76,cold storage
2892,659,28,98,937.16,62241.39,cold storage
2896,1036,135,147,940.27,467506.47,cold storage
2901,153,43,717,801.6,443407.4,cold storage
2906,14,175,36,289.82,462112.49,cold storage
2919,241,173,511,581.7,452449,cold storage
2923,106,182,698,515.39,79962.93,cold storage
2937,315,8,612,991.11,114082.83,cold storage
2941,317,93,85,460.37,168011,cold storage
2946,606,67,310,206.13,454321.28,cold storage
2950,168,188,533,-0.5,296782.56,cold storage
2956,26,33,692,880.1,316247.66,cold storage
2957,713,177,365,165.09,307091.21,cold storage
2969,436,206,103,638.05,263827.02,cold storage
2979,599,34,473,798.43,495180.66,cold storage
2988,628,171,421,245.32,161872.75,cold storage
3003,442,42,546,10.96,161481.74,cold storage
3006,397,187,274,273.32,264741.79,cold storage
3013,357,132,532,651.64,495681.88,cold storage
3022,573,123,331,775.4,436494.47,cold storage
3032,984,116,720,511.57,307853.08,cold storage
3037,136,26,266,551.79,313662.52,cold storage
3040,326,144,269,646.66,420678.35,cold storage
3050,259,186,187,864.36,274120.2,cold storage
3054,391,204,505,245.58,461147.47,cold storage
3055,547,11,206,830.43,396264.76,cold storage
3056,287,7,518,202.28,252500.96,cold storage
3084,284,102,40,695.63,158770,cold storage
3088,960,172,581,334.28,382017.36,cold storage
3090,571,169,185,9.07,139986.73,cold storage
3097,1025,180,369,523.4,475761.5,cold storage
3098,764,113,680,432.85,349270,cold storage
3114,670,123,70,405.39,22985.47,cold storage
3117,871,89,24,704.08,112409,cold storage
3131,705,162,171,259.72,202660.68,cold storage
3136,406,193,574,766.88,98044.22,cold storage
3154,347,52,655,997.49,343486.74,cold storage
3155,964,175,117,943.09,260146.68,cold storage
3160,576,189,637,537.89,392379.17,cold storage
3165,679,50,35,980.23,402269.57,cold storage
3177,76,130,657,124.47,248470.31,cold storage
3181,418,93,612,385.94,206872.01,cold storage
3183,43,27,554,840.52,469602.77,cold storage
3188,823,202,322,333.75,386571,cold storage
3190,432,202,407,411.96,154326.91,cold storage
3192,762,41,274,11.21,238430.01,cold storage
3194,161,7,573,21.19,403354.11,cold storage
3195,556,146,474,312.57,131996.75,cold storage
3198,159,138,368,914.73,283415.78,cold storage
3201,56,126,482,497.84,355265.27,cold storage
3203,345,85,530,284.02,37288,cold storage
3204,236,156,390,179.03,419008,cold storage
3208,308,97,307,863.74,289354.66,cold storage
3210,943,23,44,553.34,27783.02,cold storage
3219,629,87,124,569.51,329947.3,cold storage
3222,178,198,249,916.35,172224.34,cold storage
3223,1025,76,448,67.1,490674.69,cold storage
3226,508,69,173,491.62,347002.69,cold storage
3227,776,149,698,573.58,219640.2,cold storage
3229,291,75,199,-0.5,316632.72,cold storage
3231,246,42,62,149.71,199856.7,cold storage
3236,178,117,100,771.17,418150.05,cold storage
3240,610,109,335,569.03,459517.23,cold storage
3241,967,15,631,245.68,281972.71,cold storage
3243,1,38,433,158.57,67028.52,cold storage
3249,75,181,92,23.08,230156.22,cold storage
3255,705,30,531,897.49,216286.9,cold storage
3258,79,48,431,788,291005.09,cold storage
3259,505,30,285,438.04,55922630,cold storage
3260,821,135,504,525.98,52649.6,cold storage
3261,398,35,329,699.22,363242.72,cold storage
3269,489,177,439,106.24,145583,cold storage
3272,495,133,465,504.87,469721.09,cold storage
3293,229,170,389,292.78,26139.61,cold storage
3314,232,125,714,85.21,121256.75,cold storage
3316,496,96,234,318.11,321276.58,cold storage
3318,119,161,240,821.5,79141.61,cold storage
3333,716,142,307,-0.5,37349.01,cold storage
3334,356,143,144,858.32,310215.93,cold storage
3336,743,155,356,594.93,303363.88,cold storage
3337,439,100,610,505.2,499340.08,cold storage
3346,831,188,64,233.81,332238.16,cold storage
3347,260,19,31,368.84,325058.59,cold storage
3365,151,39,415,559.14,36855.02,cold storage
3366,56,142,160,790.35,93193.7,cold storage
3369,630,201,571,617.71,333761.81,cold storage
3371,235,147,4,573809.1082676855,338329.24,cold storage
3372,481,198,499,687.36,64785.28,cold storage
3376,16,58,417,22.14,339361.13,cold storage
3391,309,175,203,305.88,19682.71,cold storage
3392,386,25,212,560.29,54771.61,cold storage
3400,441,55,649,368.34,427511.59,cold storage
3405,96,38,402,391.92,414548.83,cold storage
3418,979,28,714,673.28,260865.09,cold storage
3422,846,139,84,47.17,239378.08,cold storage
3425,607,79,710,672.62,36638.72,cold storage
